name,g_min,g_max,fuel,efficiency,variable_cost,r_up,r_down,k_up,k_down,f
KKW ISAR 2,590.0,1485.0,uranium,0.33,10.3,890.0,890.0,140.0,140.0,0
KKW BROKDORF,590.0,1480.0,uranium,0.33,10.3,890.0,890.0,140.0,140.0,0
KKW GROHNDE,570.0,1430.0,uranium,0.33,10.3,860.0,860.0,140.0,140.0,0
KKW EMSLAND,560.0,1406.0,uranium,0.33,10.3,840.0,840.0,140.0,140.0,0
KKW NECKARWESTHEIM,560.0,1400.0,uranium,0.33,10.3,840.0,840.0,140.0,140.0,0
KKW GUNDREMMINGEN C,540.0,1344.0,uranium,0.33,10.3,810.0,810.0,140.0,140.0,0
NEURATH F,560.0,1120.0,lignite,0.434,1.65,590.0,590.0,30.4,30.4,0
NEURATH G,560.0,1120.0,lignite,0.434,1.65,590.0,590.0,30.4,30.4,0
NIEDERAUSSEM K,510.0,1012.0,lignite,0.422,1.65,540.0,540.0,30.4,30.4,0
LIPPENDORF R,470.0,933.0,lignite,0.416,1.65,490.0,490.0,30.4,30.4,0
LIPPENDORF S,470.0,933.0,lignite,0.415,1.65,490.0,490.0,30.4,30.4,0
BOXBERG Q,460.0,907.0,lignite,0.415,1.65,480.0,480.0,30.4,30.4,0
SCHWARZE PUMPE A,400.0,800.0,lignite,0.408,1.65,420.0,420.0,30.4,30.4,0
SCHWARZE PUMPE B,400.0,800.0,lignite,0.407,1.65,420.0,420.0,30.4,30.4,0
BOXBERG R,340.0,675.0,lignite,0.433,1.65,360.0,360.0,30.4,30.4,0
NIEDERAUSSEM G,310.0,620.0,lignite,0.38,1.65,330.0,330.0,30.4,30.4,0
NIEDERAUSSEM H,310.0,620.0,lignite,0.374,1.65,330.0,330.0,30.4,30.4,0
NEURATH D,300.0,600.0,lignite,0.364,1.65,320.0,320.0,30.4,30.4,0
WEISWEILER H,300.0,600.0,lignite,0.364,1.65,320.0,320.0,30.4,30.4,0
NEURATH E,300.0,600.0,lignite,0.363,1.65,320.0,320.0,30.4,30.4,0
WEISWEILER G,300.0,600.0,lignite,0.354,1.65,320.0,320.0,30.4,30.4,0
JAENSCHWALDE D,250.0,500.0,lignite,0.388,1.65,270.0,270.0,30.4,30.4,0
JAENSCHWALDE B,250.0,500.0,lignite,0.38,1.65,270.0,270.0,30.4,30.4,0
JAENSCHWALDE C,250.0,500.0,lignite,0.379,1.65,270.0,270.0,30.4,30.4,0
BOXBERG P,250.0,500.0,lignite,0.372,1.65,270.0,270.0,30.4,30.4,0
JAENSCHWALDE A,250.0,500.0,lignite,0.37,1.65,270.0,270.0,30.4,30.4,0
BOXBERG N,250.0,500.0,lignite,0.362,1.65,270.0,270.0,30.4,30.4,0
SCHKOPAU II A,240.0,480.0,lignite,0.41,1.65,260.0,260.0,30.4,30.4,0
SCHKOPAU II B,240.0,480.0,lignite,0.41,1.65,260.0,260.0,30.4,30.4,0
NIEDERAUSSEM C,170.0,335.0,lignite,0.338,1.65,180.0,180.0,30.4,30.4,0
NEURATH A,150.0,300.0,lignite,0.355,1.65,160.0,160.0,45.1,45.1,0
NEURATH B,150.0,300.0,lignite,0.355,1.65,160.0,160.0,45.1,45.1,0
WEISWEILER E,150.0,300.0,lignite,0.338,1.65,160.0,160.0,45.1,45.1,0
WEISWEILER F,150.0,300.0,lignite,0.337,1.65,160.0,160.0,45.1,45.1,0
WERDOHL ELVERLINGSEN E4,130.0,315.0,hard coal,0.39,1.3,220.0,220.0,30.4,30.4,0
BEXBACH C 1,310.0,773.0,hard coal,0.389,1.3,530.0,530.0,30.4,30.4,0
GERSTEINWERK BLOCK K,270.0,670.0,hard coal,0.42,1.3,460.0,460.0,30.4,30.4,0
IBBENBUEREN B NO 1,330.0,808.0,hard coal,0.398,1.3,550.0,550.0,30.4,30.4,0
HEILBRONN 7,310.0,760.0,hard coal,0.398,1.3,520.0,520.0,30.4,30.4,0
RDK (KARLSRUHE) 7,220.0,550.0,hard coal,0.398,1.3,380.0,380.0,30.4,30.4,0
ALTBACH DEIZISAU HKW I,190.0,460.0,hard coal,0.398,1.3,320.0,320.0,30.4,30.4,0
ZOLLING LEININGER 5,190.0,474.0,hard coal,0.398,1.3,320.0,320.0,30.4,30.4,0
HEYDEN 4,370.0,911.0,hard coal,0.396,1.3,620.0,620.0,30.4,30.4,0
HKW BERLIN REUTER WEST D,120.0,300.0,hard coal,0.382,1.3,210.0,210.0,45.1,45.1,0
WALSUM BLOCK 9,170.0,410.0,hard coal,0.406,1.3,280.0,280.0,30.4,30.4,0
HKW BERLIN REUTER WEST E,120.0,300.0,hard coal,0.405,1.3,210.0,210.0,45.1,45.1,0
HERNE BLOCK 4,200.0,500.0,hard coal,0.405,1.3,340.0,340.0,30.4,30.4,0
GKH HANNOVER,120.0,300.0,hard coal,0.405,1.3,210.0,210.0,45.1,45.1,0
STAUDINGER 5,210.0,510.0,hard coal,0.412,1.3,350.0,350.0,30.4,30.4,0
GKM 8,200.0,480.0,hard coal,0.412,1.3,330.0,330.0,30.4,30.4,0
ROSTOCK 1,230.0,553.0,hard coal,0.432,1.3,380.0,380.0,30.4,30.4,0
ALTBACH DEIZISAU HKW II,140.0,348.0,hard coal,0.428,1.3,240.0,240.0,30.4,30.4,0
WALSUM 10,320.0,790.0,hard coal,0.454,1.3,540.0,540.0,30.4,30.4,0
RDK (KARLSRUHE) 8,370.0,912.0,hard coal,0.452,1.3,620.0,620.0,30.4,30.4,0
WESTFALEN E,330.0,820.0,hard coal,0.452,1.3,560.0,560.0,30.4,30.4,0
GKM 9,370.0,911.0,hard coal,0.454,1.3,620.0,620.0,30.4,30.4,0
MOORBURG A,350.0,865.0,hard coal,0.465,1.3,590.0,590.0,30.4,30.4,0
MOORBURG B,350.0,865.0,hard coal,0.465,1.3,590.0,590.0,30.4,30.4,0
WILHELMSHAVEN A,310.0,770.0,hard coal,0.373,1.3,520.0,520.0,30.4,30.4,0
IRSCHING 5,350.0,860.0,natural gas,0.597,3.5,710.0,710.0,24.1,24.1,0
EMSLAND LINGEN D,340.0,850.0,natural gas,0.592,3.5,710.0,702.0,24.1,24.1,0
